Level,Duration,Small Blind,Big Blind
Round 1,20m,$100,$200
Round 2,20m,$200,$400
Round 3,20m,$300,$600
Break 1,8m,,
Round 4,20m,$400,$800
Round 5,20m,$600,"$1,200"
Round 6,20m,$800,"$1,600"
Break 2,8m,,
Round 7,20m,"$1,000","$2,000"
Round 8,20m,"$1,200","$2,400"
Round 9,20m,"$1,500","$3,000"
Break 3,8m,,
Round 10,25m,"$2,000","$4,000"
Round 11,25m,"$2,500","$5,000"
Break 4,8m,,
Round 12,25m,"$3,000","$6,000"
Round 13,25m,"$3,500","$7,000"
Break 5,8m,,
Round 14,25m,"$4,000","$8,000"
Round 15,25m,"$5,000","$10,000"
Break 6,8m,,
Round 16,18m,"$6,000","$12,000"
Round 17,18m,"$7,000","$14,000"
Round 18,18m,"$8,000","$16,000"
Break 7,8m,,
Round 19,18m,"$9,000","$18,000"
Round 20,18m,"$10,000","$20,000"
Round 21,18m,"$15,000","$30,000"
Round 22,18m,"$20,000","$40,000"
Round 23,18m,"$30,000","$60,000"
Round 24,18m,"$40,000","$80,000"
